timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705310068870,1307,Homepage HTTP Request,200,OK,BC Thread Group 1-1,text,true,,215251,240,1,1,https://www.bunnycart.com/,564,0,188
1705310068870,564,Homepage HTTP Request-0,301,Moved Permanently,BC Thread Group 1-1,text,true,,1348,118,1,1,https://bunnycart.com/,564,0,188
1705310069436,741,Homepage HTTP Request-1,200,OK,BC Thread Group 1-1,text,true,,213903,122,1,1,https://www.bunnycart.com/,651,0,190
1705310070178,698,Aquatic Plant HTTP Request,200,OK,BC Thread Group 1-1,text,true,,304038,270,1,1,https://www.bunnycart.com/aquarium-plants,250,0,0
1705310070178,250,Aquatic Plant HTTP Request-0,301,Moved Permanently,BC Thread Group 1-1,text,true,,1367,133,1,1,https://bunnycart.com/aquarium-plants,250,0,0
1705310070430,446,Aquatic Plant HTTP Request-1,200,OK,BC Thread Group 1-1,text,true,,302671,137,1,1,https://www.bunnycart.com/aquarium-plants,265,0,0
1705310070877,645,Background HTTP Request,200,OK,BC Thread Group 1-1,text,true,,313406,322,1,1,https://www.bunnycart.com/aquarium-plants/background-aquatic-plants,249,0,0
1705310070877,249,Background HTTP Request-0,301,Moved Permanently,BC Thread Group 1-1,text,true,,1391,159,1,1,https://bunnycart.com/aquarium-plants/background-aquatic-plants,249,0,0
1705310071127,395,Background HTTP Request-1,200,OK,BC Thread Group 1-1,text,true,,312015,163,1,1,https://www.bunnycart.com/aquarium-plants/background-aquatic-plants,256,0,0
1705310071554,580,Hygrophila Araguaia HTTP Request,200,OK,BC Thread Group 1-1,text,true,,173019,308,1,1,https://www.bunnycart.com/aquatic-plants/hygrophila-araguaia,245,0,0
1705310071554,245,Hygrophila Araguaia HTTP Request-0,301,Moved Permanently,BC Thread Group 1-1,text,true,,1382,152,1,1,https://bunnycart.com/aquatic-plants/hygrophila-araguaia,245,0,0
1705310071799,335,Hygrophila Araguaia HTTP Request-1,200,OK,BC Thread Group 1-1,text,true,,171637,156,1,1,https://www.bunnycart.com/aquatic-plants/hygrophila-araguaia,320,0,0
